,segments_start,segments_end,sentence,chunk_name,parent_name,translations
23,110.0,116.0,variable password को value abc123 नियुक्त की गयी है,100051_GigsEKRBMhvNwolC_0023,GigsEKRBMhvNwolC,variable password is assigned the value abc123
24,116.0,122.0,read command मानक input से data की एक line को पढ़ता है,100051_GigsEKRBMhvNwolC_0024,GigsEKRBMhvNwolC,The read command reads a line of data from standard input.
25,122.0,125.0,hyphen p flag prompt को दिखाता है,100051_GigsEKRBMhvNwolC_0025,GigsEKRBMhvNwolC,hyphen p shows the flag prompt
26,125.0,131.0,hyphen p के बाद enter name: यह string terminal पर दिखाया जायेगा,100051_GigsEKRBMhvNwolC_0026,GigsEKRBMhvNwolC,Enter name after hyphen p: this string will be displayed on the terminal
27,131.0,138.0,myname variable है जो यूज़र के द्वारा प्रविष्ट किया गया text जोकि यूज़र input है को संचित करता है,100051_GigsEKRBMhvNwolC_0027,GigsEKRBMhvNwolC,myname is the variable which stores the text entered by the user which is user input
28,138.0,144.0,पहला if statement दो variables myname और name की तुलना करता है,100051_GigsEKRBMhvNwolC_0028,GigsEKRBMhvNwolC,The first if statement compares the two variables myname and name
29,144.0,151.0,यानी यूज़र input और variable name में संचित value जोकि anusha है,100051_GigsEKRBMhvNwolC_0029,GigsEKRBMhvNwolC,i.e. the value stored in user input and variable name which is anusha
30,151.0,158.0,अगर दो values मिलती हैं तो इस if statement में शेष code मूल्यांकित किया जायेगा,100051_GigsEKRBMhvNwolC_0030,GigsEKRBMhvNwolC,"If the two values ​​match, then the rest of the code in this if statement will be evaluated."
31,158.0,166.0,read command पढ़ती है और variable mypassword में प्रविष्ट किया हुआ password संचित करती है,100051_GigsEKRBMhvNwolC_0031,GigsEKRBMhvNwolC,read command reads and stores the entered password in the variable mypassword
32,166.0,169.0,यहाँ hyphen s flag silent mode के लिए है,100051_GigsEKRBMhvNwolC_0032,GigsEKRBMhvNwolC,here hyphen s is for flag silent mode
33,169.0,176.0,इसका मतलब है कि यूज़र द्वारा प्रविष्ट किया हुआ text terminal पर प्रदर्शित नहीं किया जायेगा,100051_GigsEKRBMhvNwolC_0033,GigsEKRBMhvNwolC,This means that the text entered by the user will not be displayed on the terminal.
34,176.0,179.0,यहाँ हमारे पास ifelse statements का एक अन्य set है,100051_GigsEKRBMhvNwolC_0034,GigsEKRBMhvNwolC,Here we have another set of ifelse statements
35,179.0,185.0,ifelse statements का यह set पहले if में nested किया जाता है,100051_GigsEKRBMhvNwolC_0035,GigsEKRBMhvNwolC,This set of ifelse statements is nested in the first if
36,185.0,192.0,दूसरा if statement variables mypassword और password की तुलना करता है,100051_GigsEKRBMhvNwolC_0036,GigsEKRBMhvNwolC,The second if statement compares the variables mypassword and password
37,192.0,198.0,जब if condition true होती है तो echo terminal पर message welcome प्रदर्शित करता है,100051_GigsEKRBMhvNwolC_0037,GigsEKRBMhvNwolC,"When the if condition is true, echo displays the message welcome on the terminal."
38,198.0,201.0,यानी passwords मिलता है,100051_GigsEKRBMhvNwolC_0038,GigsEKRBMhvNwolC,i.e. get passwords
39,201.0,207.0,e backslash escape की व्याश्या संभव बनाता है,100051_GigsEKRBMhvNwolC_0039,GigsEKRBMhvNwolC,e makes the backslash escape possible
40,207.0,215.0,\n नयी line के लिए है; जिसका मतलब है string welcome printed किया जायेगा,100051_GigsEKRBMhvNwolC_0040,GigsEKRBMhvNwolC,\n is for new line; which means string welcome will be printed
41,215.0,222.0,जब if condition true नहीं होती है तो else condition निष्पादित की जाएगी;,100051_GigsEKRBMhvNwolC_0041,GigsEKRBMhvNwolC,When the if condition is not true then the else condition will be executed;
42,222.0,228.0,यानी जब passwords मिलान नहीं होता है तो else condition निष्पादित की जाएगी,100051_GigsEKRBMhvNwolC_0042,GigsEKRBMhvNwolC,i.e. when passwords does not match then else condition will be executed
43,228.0,233.0,इस स्थिति में echo wrong password दिखायेगा,100051_GigsEKRBMhvNwolC_0043,GigsEKRBMhvNwolC,In this case echo will show wrong password
44,233.0,237.0,fi भीतरी ifelse statement समाप्त करता है,100051_GigsEKRBMhvNwolC_0044,GigsEKRBMhvNwolC,fi terminates the inner ifelse statement
45,237.0,241.0,अपने पहले ifelse statement पर वापस आते हैं,100051_GigsEKRBMhvNwolC_0045,GigsEKRBMhvNwolC,Let's go back to our first ifelse statement
46,241.0,249.0,अगर myname और name में values मिलान नहीं होती हैं तो यह else statement निष्पादित किया जायेगा,100051_GigsEKRBMhvNwolC_0046,GigsEKRBMhvNwolC,This else statement will be executed if the values ​​in myname and name do not match.
47,249.0,254.0,यह terminal पर message wrong name echo करेगा,100051_GigsEKRBMhvNwolC_0047,GigsEKRBMhvNwolC,This will echo the message wrong name on the terminal
48,254.0,258.0,fi बहरी ifelse statement समाप्त करेगा,100051_GigsEKRBMhvNwolC_0048,GigsEKRBMhvNwolC,fi will terminate the outer ifelse statement
49,258.0,267.0,अब अपने keyboard पर ctrl + alt और t कीज़ एकसाथ दबाकर terminal window खोलें,100051_GigsEKRBMhvNwolC_0049,GigsEKRBMhvNwolC,Now open terminal window by pressing ctrl + alt and t keys together on your keyboard
50,267.0,269.0,file को निष्पादन योग्य बनाते हैं,100051_GigsEKRBMhvNwolC_0050,GigsEKRBMhvNwolC,make the file executable
51,269.0,278.0,type करें: chmod space plus x space nestedifelse sh,100051_GigsEKRBMhvNwolC_0051,GigsEKRBMhvNwolC,type करें: chmod space plus x space nestedifelse sh
52,278.0,283.0,अब type करें dot slash nestedifelse sh,100051_GigsEKRBMhvNwolC_0052,GigsEKRBMhvNwolC,Now type dot slash nestedifelse sh
53,283.0,286.0,program दो conditions प्रमाणित करता है,100051_GigsEKRBMhvNwolC_0053,GigsEKRBMhvNwolC,program verifies two conditions
54,286.0,288.0,यानी name और password,100051_GigsEKRBMhvNwolC_0054,GigsEKRBMhvNwolC,ie name and password
55,288.0,292.0,जब यह terminal पर निष्पादित किया जाता है,100051_GigsEKRBMhvNwolC_0055,GigsEKRBMhvNwolC,when it is executed on terminal
56,292.0,295.0,यहाँ prompt enter name निष्पादित करता है,100051_GigsEKRBMhvNwolC_0056,GigsEKRBMhvNwolC,Here prompt enter name executes
57,295.0,297.0,अब type करें anusha,100051_GigsEKRBMhvNwolC_0057,GigsEKRBMhvNwolC,now type anusha
58,297.0,302.0,चूँकि यह condition true होती है अतः अगली if condition मूल्यांकित की जाएगी,100051_GigsEKRBMhvNwolC_0058,GigsEKRBMhvNwolC,"Since this condition is true, the next if condition will be evaluated."
59,302.0,305.0,अब prompt दिखाता है password,100051_GigsEKRBMhvNwolC_0059,GigsEKRBMhvNwolC,now prompt shows password
60,305.0,310.0,मैं password में abc123 type करुँगी,100051_GigsEKRBMhvNwolC_0060,GigsEKRBMhvNwolC,i will type abc123 in password
61,310.0,315.0,ये password variable password में value से मिलता है,100051_GigsEKRBMhvNwolC_0061,GigsEKRBMhvNwolC,This password is obtained from the value in the variable password
62,315.0,319.0,इसलिए prompt message welcome दिखाता है,100051_GigsEKRBMhvNwolC_0062,GigsEKRBMhvNwolC,so the prompt message shows welcome
63,319.0,321.0,अब script को दोबारा निष्पादित करते हैं,100051_GigsEKRBMhvNwolC_0063,GigsEKRBMhvNwolC,now execute the script again
64,321.0,324.0,अप arrow की दबाएं,100051_GigsEKRBMhvNwolC_0064,GigsEKRBMhvNwolC,press the up arrow key
65,324.0,329.0,dot slash nestedifelse sh पर जाएँ,100051_GigsEKRBMhvNwolC_0065,GigsEKRBMhvNwolC,dot slash nestedifelse go to sh
66,329.0,331.0,enter दबाएं,100051_GigsEKRBMhvNwolC_0066,GigsEKRBMhvNwolC,press enter
67,331.0,337.0,इस समय हम वही name अलग password के साथ प्रविष्ट करेंगे,100051_GigsEKRBMhvNwolC_0067,GigsEKRBMhvNwolC,This time we will enter the same name with different password
68,337.0,344.0,अतः मैं name में anusha और password में 123 प्रविष्ट करुँगी,100051_GigsEKRBMhvNwolC_0068,GigsEKRBMhvNwolC,So I will enter anusha in name and 123 in password.
69,344.0,349.0,name की values मिलेंगी लेकिन password की values नहीं,100051_GigsEKRBMhvNwolC_0069,GigsEKRBMhvNwolC,Name values ​​will be found but password values ​​will not.
70,349.0,353.0,अतः message wrong password प्रदर्शित किया जायेगा,100051_GigsEKRBMhvNwolC_0070,GigsEKRBMhvNwolC,Hence message wrong password will be displayed
71,353.0,361.0,यह सिद्ध करता है कि पहले if statement के अंदर nested else statement निष्पादित किया गया था,100051_GigsEKRBMhvNwolC_0071,GigsEKRBMhvNwolC,Proves that the nested else statement inside the first if statement was executed
72,361.0,364.0,एक बार और script को निष्पादित करते हैं,100051_GigsEKRBMhvNwolC_0072,GigsEKRBMhvNwolC,execute the script one more time
73,364.0,368.0,इस समय हम name में swati प्रविष्ट करेंगे,100051_GigsEKRBMhvNwolC_0073,GigsEKRBMhvNwolC,At this point we will enter swati in the name
74,368.0,372.0,message wrong name प्रदर्शित होता है,100051_GigsEKRBMhvNwolC_0074,GigsEKRBMhvNwolC,message wrong name is displayed
75,372.0,379.0,ऐसा इसलिए क्योंकि name swati पहले घोषित की गयी value anusha से नहीं मिलता,100051_GigsEKRBMhvNwolC_0075,GigsEKRBMhvNwolC,This is because the name swati does not match with the previously declared value anusha.
76,379.0,385.0,control पहले if statement के बाहर आता है और else statement निष्पादित करता है,100051_GigsEKRBMhvNwolC_0076,GigsEKRBMhvNwolC,control comes outside the first if statement and executes the else statement
77,385.0,389.0,यह message wrong name prints करता है,100051_GigsEKRBMhvNwolC_0077,GigsEKRBMhvNwolC,This message prints wrong name
78,389.0,394.0,अब multilevel ifelse statement को देखते हैं,100051_GigsEKRBMhvNwolC_0078,GigsEKRBMhvNwolC,Now let's see the multilevel ifelse statement
79,394.0,400.0,अगर कंडीशन 1 true है तो statement1 1 निष्पादित होता है,100051_GigsEKRBMhvNwolC_0079,GigsEKRBMhvNwolC,if condition 1 is true then statement1 1 is executed
80,400.0,406.0,अगर condition 1 false है तो condition 2 मूल्यांकित होती है,100051_GigsEKRBMhvNwolC_0080,GigsEKRBMhvNwolC,if condition 1 is false then condition 2 is evaluated
81,406.0,412.0,अगर कंडीशन 2 true है तो statement 2 निष्पादित होता है,100051_GigsEKRBMhvNwolC_0081,GigsEKRBMhvNwolC,if condition 2 is true then statement 2 is executed
82,412.0,418.0,अगर condition 2 false है तो condition n मूल्यांकित होती है,100051_GigsEKRBMhvNwolC_0082,GigsEKRBMhvNwolC,if condition 2 is false then condition n is evaluated
83,418.0,423.0,अगर condition n true है तो statement n निष्पादित होता है,100051_GigsEKRBMhvNwolC_0083,GigsEKRBMhvNwolC,if condition n is true then statement n is executed
84,423.0,430.0,और अगर condition n false है तो statement x निष्पादित होता है,100051_GigsEKRBMhvNwolC_0084,GigsEKRBMhvNwolC,else if condition n is false then statement x is executed
85,430.0,432.0,अब एक उदाहरण देखते हैं,100051_GigsEKRBMhvNwolC_0085,GigsEKRBMhvNwolC,now let's see an example
86,432.0,434.0,मेरे पास एक कार्यकारी उदाहरण है,100051_GigsEKRBMhvNwolC_0086,GigsEKRBMhvNwolC,I have a working example
87,434.0,443.0,मैं इसे खोलूंगी ध्यान दें हमारी फाइल का name multilevel hyphen ifelse dot sh है,100051_GigsEKRBMhvNwolC_0087,GigsEKRBMhvNwolC,I'll open it note that our file name is multilevel hyphen ifelse dot sh
88,443.0,445.0,अब code पूरा समझते हैं,100051_GigsEKRBMhvNwolC_0088,GigsEKRBMhvNwolC,now understand the code completely
89,445.0,447.0,यह शीबैंग line है,100051_GigsEKRBMhvNwolC_0089,GigsEKRBMhvNwolC,this is the shebang line
90,447.0,454.0,mystring एक variable है जो निष्पादन के दौरान यूज़र द्वारा input शब्द संचित करता है,100051_GigsEKRBMhvNwolC_0090,GigsEKRBMhvNwolC,mystring is a variable that stores the words input by the user during execution
91,454.0,459.0,if condition जाँचती है कि the input string नल null है,100051_GigsEKRBMhvNwolC_0091,GigsEKRBMhvNwolC,if condition checks whether the input string is null
92,459.0,464.0,hyphen z जाँचता है कि क्या string की लम्बाई zero है,100051_GigsEKRBMhvNwolC_0092,GigsEKRBMhvNwolC,hyphen z checks if the length of the string is zero
93,464.0,471.0,terminal पर type करें man test और अनेक string comparison का अन्वेषण करें,100051_GigsEKRBMhvNwolC_0093,GigsEKRBMhvNwolC,Type man test on terminal and explore the many string comparisons
94,471.0,476.0,अगर कुछ भी प्रविष्ट नहीं किया जाता तो echo statement printed किया जायेगा,100051_GigsEKRBMhvNwolC_0094,GigsEKRBMhvNwolC,If nothing is entered then echo statement will be printed
95,476.0,483.0,पहली elif condition जाँचती है कि the input string में raj है,100051_GigsEKRBMhvNwolC_0095,GigsEKRBMhvNwolC,The first elif condition checks that the input string contains raj
96,483.0,488.0,अगर है तो यह echo statement printed किया जायेगा,100051_GigsEKRBMhvNwolC_0096,GigsEKRBMhvNwolC,If yes then this echo statement will be printed
97,488.0,495.0,वाइल्ड कार्ड्स character निश्चित करता है कि इसमें raj के साथ कोई भी शब्द पहचाना जाएगा,100051_GigsEKRBMhvNwolC_0097,GigsEKRBMhvNwolC,The wildcard character ensures that any word with raj in it will be recognized.
98,495.0,502.0,अगली elif condition जाँचती है कि the input string में शब्द jit है,100051_GigsEKRBMhvNwolC_0098,GigsEKRBMhvNwolC,The next elif condition checks that the input string contains the word jit
99,502.0,507.0,अगर है तो यह echo statement printed किया जायेगा,100051_GigsEKRBMhvNwolC_0099,GigsEKRBMhvNwolC,If yes then this echo statement will be printed
100,507.0,513.0,जब ऊपर की सारी conditions fail हो जाएँगी तो else condition निष्पादित की जाएगी,100051_GigsEKRBMhvNwolC_0100,GigsEKRBMhvNwolC,When all the above conditions fail then else condition will be executed.
101,513.0,521.0,और यह sorry! input does not contain either raj or jit message दिखायेगा,100051_GigsEKRBMhvNwolC_0101,GigsEKRBMhvNwolC,And it's sorry! input does not contain either raj or jit message will show
102,521.0,526.0,fi multilevel ifelse statement का अंत दिखाता है,100051_GigsEKRBMhvNwolC_0102,GigsEKRBMhvNwolC,fi shows the end of the multilevel ifelse statement
103,526.0,528.0,अब program निष्पादित करते हैं,100051_GigsEKRBMhvNwolC_0103,GigsEKRBMhvNwolC,now execute the program
104,528.0,531.0,अपने terminal पर वापस आते हैं,100051_GigsEKRBMhvNwolC_0104,GigsEKRBMhvNwolC,come back to your terminal
105,531.0,540.0,type करें: chmod space plus x space multilevel hyphen ifelse dot sh,100051_GigsEKRBMhvNwolC_0105,GigsEKRBMhvNwolC,type करें: chmod space plus x space multilevel hyphen ifelse dot sh
106,540.0,546.0,type करें dot slash multilevel hyphen ifelse dot sh,100051_GigsEKRBMhvNwolC_0106,GigsEKRBMhvNwolC,type करें dot slash multilevel hyphen ifelse dot sh
107,546.0,549.0,हमसे input के लिए पूछा जाता है,100051_GigsEKRBMhvNwolC_0107,GigsEKRBMhvNwolC,we are asked for input
108,549.0,554.0,अब हम भिन्नभिन्न inputs देते हैं और देखते हैं कि हर बार क्या होता है,100051_GigsEKRBMhvNwolC_0108,GigsEKRBMhvNwolC,Now we give different inputs and see what happens each time
109,554.0,559.0,पहले मैं बिना कुछ टाइप किये enter दबाऊँगी,100051_GigsEKRBMhvNwolC_0109,GigsEKRBMhvNwolC,first i will press enter without typing anything
110,559.0,562.0,nothing was entered message दिखता है,100051_GigsEKRBMhvNwolC_0110,GigsEKRBMhvNwolC,nothing was entered message appears
111,562.0,568.0,और control multilevel ifelse statement के बाहर आ जाता है,100051_GigsEKRBMhvNwolC_0111,GigsEKRBMhvNwolC,and the control comes out of the multilevel ifelse statement
112,568.0,570.0,अब मैं prompt clear करती हूँ,100051_GigsEKRBMhvNwolC_0112,GigsEKRBMhvNwolC,now i clear the prompt
113,570.0,574.0,अब script को भिन्न input के साथ निष्पादित करने की कोशिश करते हैं,100051_GigsEKRBMhvNwolC_0113,GigsEKRBMhvNwolC,Now let's try to execute the script with different input
114,574.0,576.0,अप arrow की दबाएं,100051_GigsEKRBMhvNwolC_0114,GigsEKRBMhvNwolC,press the up arrow key
115,576.0,581.0,dot slash multilevel hyphen ifelse dot sh पर जाएँ,100051_GigsEKRBMhvNwolC_0115,GigsEKRBMhvNwolC,go to dot slash multilevel hyphen ifelse dot sh
116,581.0,583.0,enter दबाएं,100051_GigsEKRBMhvNwolC_0116,GigsEKRBMhvNwolC,press enter
117,583.0,585.0,prompt enter a word दिखाता है,100051_GigsEKRBMhvNwolC_0117,GigsEKRBMhvNwolC,prompt enter a word
118,585.0,588.0,मैं abhijit type करुँगी,100051_GigsEKRBMhvNwolC_0118,GigsEKRBMhvNwolC,i will type abhijit
119,588.0,593.0,abhijit contains word jit output दिखता है,100051_GigsEKRBMhvNwolC_0119,GigsEKRBMhvNwolC,abhijit contains word jit output looks like
120,593.0,599.0,यह दिखाता है कि हमारे code में control तीसरी condition पर गया,100051_GigsEKRBMhvNwolC_0120,GigsEKRBMhvNwolC,This shows that the control passed to the third condition in our code
121,599.0,603.0,पहली दो conditions मेल नहीं हुई,100051_GigsEKRBMhvNwolC_0121,GigsEKRBMhvNwolC,first two conditions did not match
122,603.0,607.0,वहीं logic सारी conditions पर लगता है,100051_GigsEKRBMhvNwolC_0122,GigsEKRBMhvNwolC,Whereas logic applies to all conditions.
123,607.0,613.0,भिन्नभिन्न inputs के लिए program को निष्पादित करने की कोशिश करें और परिणामों को जाँचें,100051_GigsEKRBMhvNwolC_0123,GigsEKRBMhvNwolC,Try executing the program for different inputs and check the results
124,613.0,615.0,अब सारांशित करते हैं,100051_GigsEKRBMhvNwolC_0124,GigsEKRBMhvNwolC,now let's summarize
125,615.0,618.0,इस tutorial में हमने सीखा:,100051_GigsEKRBMhvNwolC_0125,GigsEKRBMhvNwolC,In this tutorial we learned:
126,618.0,623.0,name और password सत्यापन के साथ nested ifelse का उपयोग और,100051_GigsEKRBMhvNwolC_0126,GigsEKRBMhvNwolC,using nested ifelse with name and password validation and
127,623.0,628.0,multilevel ifelse: string comparison program का उपयोग,100051_GigsEKRBMhvNwolC_0127,GigsEKRBMhvNwolC,multilevel ifelse: use of string comparison program
128,628.0,634.0,एक नियत कार्य में भिन्नभिन्न output के लिए एक program लिखें जब number,100051_GigsEKRBMhvNwolC_0128,GigsEKRBMhvNwolC,Write a program for different output in an assignment when number
129,634.0,637.0,3 से बड़ा हो 3 से छोटा हो,100051_GigsEKRBMhvNwolC_0129,GigsEKRBMhvNwolC,greater than 3 less than 3
130,637.0,639.0,या 3 के बराबर हो,100051_GigsEKRBMhvNwolC_0130,GigsEKRBMhvNwolC,or equal to 3
131,639.0,642.0,या जब यूज़र input खाली हो,100051_GigsEKRBMhvNwolC_0131,GigsEKRBMhvNwolC,or when user input is empty
132,642.0,645.0,निम्न link पर उपलब्ध video देखें,100051_GigsEKRBMhvNwolC_0132,GigsEKRBMhvNwolC,Watch the video available on the following link
133,645.0,648.0,यह spoken tutorial project को सारांशित करता है,100051_GigsEKRBMhvNwolC_0133,GigsEKRBMhvNwolC,This summarizes the spoken tutorial project
134,648.0,653.0,अच्छी bandwidth न मिलने पर आप इसे download करके देख सकते हैं,100051_GigsEKRBMhvNwolC_0134,GigsEKRBMhvNwolC,"If you do not get good bandwidth, you can download and watch it."
135,653.0,655.0,spoken tutorial project team,100051_GigsEKRBMhvNwolC_0135,GigsEKRBMhvNwolC,spoken tutorial project team
136,655.0,658.0,spoken tutorials का उपयोग करके कार्यशालाएं चालती है,100051_GigsEKRBMhvNwolC_0136,GigsEKRBMhvNwolC,conducts workshops using spoken tutorials
137,658.0,662.0,online test pass करने वालों को प्रमाणपत्र देते हैं,100051_GigsEKRBMhvNwolC_0137,GigsEKRBMhvNwolC,Certificates are given to those who pass the online test
138,662.0,669.0,अधिक जानकारी के लिए contact @spokentutorial org पर लिखें,100051_GigsEKRBMhvNwolC_0138,GigsEKRBMhvNwolC,For more information write to contact @spokentutorial org
139,669.0,673.0,spoken tutorial project talk to a teacher project का हिस्सा है,100051_GigsEKRBMhvNwolC_0139,GigsEKRBMhvNwolC,The spoken tutorial project is part of the talk to a teacher project
140,673.0,680.0,यह भारत सरकार के it it आर दी के आई सी टी के माध्यम से राष्ट्रीय साक्षरता mission द्वारा समर्थित है,100051_GigsEKRBMhvNwolC_0140,GigsEKRBMhvNwolC,It is supported by National Mission on Literacy through ICT of Government of India
141,680.0,686.0,इस mission पर अधिक जानकारी नीचे दर्शाये link पर उपलब्ध है,100051_GigsEKRBMhvNwolC_0141,GigsEKRBMhvNwolC,More information on this mission is available at the link shown below
142,686.0,691.0,यह script प्रभाकर द्वारा अनुवादित है,100051_GigsEKRBMhvNwolC_0142,GigsEKRBMhvNwolC,This script is translated by Prabhakar
143,691.0,697.08,आई आई टी बॉम्बे से मैं श्रुति आर्य अब आपसे विदा लेती हूँ हमसे जुड़ने धन्यवाद,100051_GigsEKRBMhvNwolC_0143,GigsEKRBMhvNwolC,I Shruti Arya from IIT Bombay bid you farewell. Thank you for joining us.
144,1.0,7.0,नमस्कार features of gchem3d के इस tutorial में आपका स्वागत है,100356_CwvWvuD1g8RaNQ2j_0000,CwvWvuD1g8RaNQ2j,Hello welcome to this tutorial of features of gchem3d
145,7.0,10.0,इस tutorial में हम निम्न के बारे में सीखेंगे,100356_CwvWvuD1g8RaNQ2j_0001,CwvWvuD1g8RaNQ2j,In this tutorial we will learn about the following
146,10.0,13.0,menu bar file type formats,100356_CwvWvuD1g8RaNQ2j_0002,CwvWvuD1g8RaNQ2j,menu bar file type formats
147,13.0,15.0,अनेक प्रकार के model types और,100356_CwvWvuD1g8RaNQ2j_0003,CwvWvuD1g8RaNQ2j,Many types of model types and
148,15.0,18.0,background color को कैसे बदलें,100356_CwvWvuD1g8RaNQ2j_0004,CwvWvuD1g8RaNQ2j,how to change background color
149,18.0,24.0,इस tutorial के लिए मैं उपयोग कर रही हूँ ubuntu लिनक्स os version 1204,100356_CwvWvuD1g8RaNQ2j_0005,CwvWvuD1g8RaNQ2j,For this tutorial i am using ubuntu linux os version 1204
150,24.0,29.0,gchempaint version 01210,100356_CwvWvuD1g8RaNQ2j_0006,CwvWvuD1g8RaNQ2j,gchempaint version 01210
151,29.0,34.0,gchem3d version 01210,100356_CwvWvuD1g8RaNQ2j_0007,CwvWvuD1g8RaNQ2j,gchem3d version 01210
152,34.0,38.0,इस tutorial के अनुसरण के लिए आपको gchempaint से परिचित होना चाहिये,100356_CwvWvuD1g8RaNQ2j_0008,CwvWvuD1g8RaNQ2j,You must be familiar with gchempaint to follow this tutorial
153,38.0,44.0,यदि नहीं तो सम्बंधित tutorials के लिए कृपया हमारी website पर जाएँ,100356_CwvWvuD1g8RaNQ2j_0009,CwvWvuD1g8RaNQ2j,If not then please visit our website for related tutorials
154,44.0,47.0,मैंने एक नयी gchempaint window खोली है,100356_CwvWvuD1g8RaNQ2j_0010,CwvWvuD1g8RaNQ2j,I have opened a new gchempaint window
155,47.0,49.0,templates drop down उपयोग करके,100356_CwvWvuD1g8RaNQ2j_0011,CwvWvuD1g8RaNQ2j,using templates drop down
156,49.0,53.0,मैं display area पर adenosine adenosine के structure को load करुँगी,100356_CwvWvuD1g8RaNQ2j_0012,CwvWvuD1g8RaNQ2j,I will load the structure of adenosine adenosine on the display area
157,53.0,58.0,file को सेव करने के लिए tool bar पर सेव icon पर click करें,100356_CwvWvuD1g8RaNQ2j_0013,CwvWvuD1g8RaNQ2j,Click on the save icon on the toolbar to save the file.
158,58.0,62.0,save as dialog box खुलता है,100356_CwvWvuD1g8RaNQ2j_0014,CwvWvuD1g8RaNQ2j,save as dialog box opens
